,Reporting_year,CORNO,mountains,coverage total,town_distance_miles,road_distance_miles,length,miles,death_counts,az_encounters,az_staffing,total_border_miles,total_unwalled_miles,percent_unwalled_border,town_distance_miles_median
45,1993.0,10.0,,,,,31063.297973858003,19.30183848946733,0.0,116187.0,469.0,19.301838489467332,371.3465305345004,0.05197796909987306,
46,1993.0,11.0,,,,,89886.65062920398,55.85297524635603,0.0,116187.0,469.0,55.85297524635603,371.3465305345004,0.1504066166067679,
47,1993.0,12.0,,,,,105087.36800448348,65.29826312108857,0.0,116187.0,469.0,70.9213161607967,371.3465305345004,0.1758418559265951,
48,1994.0,1.0,,,,,34091.244753207124,21.183317389064054,0.0,160684.0,464.0,21.183317389064058,370.283030046223,0.05720844778228078,
49,1994.0,2.0,,,,,42229.88084757553,26.240431400275977,0.0,160684.0,464.0,26.240431400275977,370.283030046223,0.07086587629198222,
50,1994.0,3.0,,,,,31572.593932088203,19.61830032611361,0.0,160684.0,464.0,20.681800814391032,370.283030046223,0.052981905013752925,
51,1994.0,4.0,,,,,39421.587570105046,24.495438858968555,0.0,160684.0,464.0,24.495438858968555,370.283030046223,0.06615328511250097,
52,1994.0,5.0,5.0,7.0,0.0,0.2026509220520526,58304.41194386428,36.22868194841799,1.0,160684.0,464.0,36.228681948417986,370.283030046223,0.09784051390066542,0.0
53,1994.0,6.0,0.0,7.0,2.017872730212304,0.8800581396869109,46337.47309657957,28.792770892289575,2.0,160684.0,464.0,28.792770892289578,370.283030046223,0.07775881840627513,2.017872730212304
54,1994.0,7.0,,,,,84254.16107016541,52.35310849512868,0.0,160684.0,464.0,52.35310849512868,370.283030046223,0.14138673459756812,
55,1994.0,8.0,,,,,11542.392641138287,7.172110273956126,0.0,160684.0,464.0,7.172110273956126,370.283030046223,0.019369265378056402,
56,1994.0,9.0,,,,,22121.71047204987,13.745793605096509,0.0,160684.0,464.0,13.745793605096509,370.283030046223,0.03712239689564115,
57,1994.0,10.0,,,,,31063.297973858003,19.30183848946733,0.0,160684.0,464.0,19.301838489467332,370.283030046223,0.05212725651255973,
58,1994.0,11.0,,,,,89886.65062920398,55.85297524635603,0.0,160684.0,464.0,55.85297524635603,370.283030046223,0.15083860375503522,
59,1994.0,12.0,,,,,105087.36800448348,65.29826312108857,0.0,160684.0,464.0,70.9213161607967,370.283030046223,0.1763468963536819,
60,1995.0,1.0,,,,,34091.244753207124,21.183317389064054,0.0,248423.0,592.0,21.183317389064058,370.283030046223,0.05720844778228078,
61,1995.0,2.0,,,,,42229.88084757553,26.240431400275977,0.0,248423.0,592.0,26.240431400275977,370.283030046223,0.07086587629198222,
62,1995.0,3.0,,,,,31572.593932088203,19.61830032611361,0.0,248423.0,592.0,20.681800814391032,370.283030046223,0.052981905013752925,
63,1995.0,4.0,0.0,7.0,0.0,0.1004602164405205,39421.587570105046,24.495438858968555,3.0,248423.0,592.0,24.495438858968555,370.283030046223,0.06615328511250097,0.0
64,1995.0,5.0,5.0,7.0,2.673120313935851,0.640996330947477,58304.41194386428,36.22868194841799,1.0,248423.0,592.0,36.228681948417986,370.283030046223,0.09784051390066542,2.673120313935851
65,1995.0,6.0,2.0,5.0,21.19670217701044,2.4613519317168056,46337.47309657957,28.792770892289575,3.0,248423.0,592.0,28.792770892289578,370.283030046223,0.07775881840627513,26.73839316895805
66,1995.0,7.0,3.0,5.0,6.91558841903103,0.6683351331380745,84254.16107016541,52.35310849512868,2.0,248423.0,592.0,52.35310849512868,370.283030046223,0.14138673459756812,6.91558841903103
67,1995.0,8.0,,,,,11542.392641138287,7.172110273956126,0.0,248423.0,592.0,7.172110273956126,370.283030046223,0.019369265378056402,
