,year,length,CORNO,miles
12,2008,38917.3303265886,12.0,24.18210793449011
0,2009,2368132.5966805313,0.0,1471.489374413437
1,2009,34091.244753207124,1.0,21.183317389064058
2,2009,17816.37974618773,2.0,11.070585120013327
3,2009,839.5308302650778,3.0,0.5216602727225611
4,2009,34820.964140544296,4.0,21.636743994599264
5,2009,42855.579301260455,5.0,26.629222394274738
6,2009,35080.77202316568,6.0,21.79818112831471
7,2009,84254.16107016541,7.0,52.35310849512868
8,2009,11542.392641138287,8.0,7.172110273956126
9,2009,14347.09012643566,9.0,8.914868493594756
10,2009,30600.346623083617,10.0,19.014173856798642
11,2009,88009.20894775912,11.0,54.68638707084615
12,2009,38914.913064775435,12.0,24.180605917635887
0,2010,2366720.8079509335,0.0,1470.6121295676746
1,2010,34091.244753207124,1.0,21.183317389064058
2,2010,17816.37974618773,2.0,11.070585120013327
3,2010,839.5308302650778,3.0,0.5216602727225611
4,2010,34820.964140544296,4.0,21.636743994599264
5,2010,42855.579301260455,5.0,26.629222394274738
6,2010,35080.77202316568,6.0,21.79818112831471
7,2010,84254.16107016541,7.0,52.35310849512868
8,2010,11542.392641138287,8.0,7.172110273956126
9,2010,14347.09012643566,9.0,8.914868493594756
10,2010,30600.346623083617,10.0,19.014173856798642
11,2010,88009.20894775912,11.0,54.68638707084615
12,2010,38914.91306477519,12.0,24.18060591763573
0,2011,2364851.895970922,0.0,1469.4508415029118
1,2011,34091.244753207124,1.0,21.183317389064058
2,2011,10705.979438742821,2.0,6.652387205379117
3,2011,839.5308302650778,3.0,0.5216602727225611
4,2011,34820.964140544296,4.0,21.636743994599264
5,2011,38379.37881407318,5.0,23.8478403619202
6,2011,35080.77202316568,6.0,21.79818112831471
7,2011,84254.16107016541,7.0,52.35310849512868
8,2011,11542.392641138287,8.0,7.172110273956126
9,2011,14347.09012643566,9.0,8.914868493594756
10,2011,30600.346623083617,10.0,19.014173856798642
11,2011,88009.20894775912,11.0,54.68638707084615
12,2011,38914.91306477519,12.0,24.18060591763573
0,2012,2364762.6047997917,0.0,1469.3953585414715
